name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,lifeStage,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,identificationRemarks,infraspecificEpithet,networkKeys,sex,elevation,elevationAccuracy,institutionKey,collectionKey,otherCatalogNumbers,preparations,samplingProtocol,institutionID,dynamicProperties,county,identificationVerificationStatus,locationAccordingTo,georeferencedDate,higherGeography,nomenclaturalCode,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,endDayOfYear,footprintWKT,verbatimCoordinateSystem,locality,organismID,previousIdentifications,identificationQualifier,accessRights,collectionID,higherClassification,georeferenceSources,eventRemarks,fieldNumber,associatedSequences,habitat,identificationReferences,recordNumber,http://unknown.org/language,taxonConceptID,verbatimIdentification,locationRemarks,associatedOccurrences,establishmentMeans,language,type,vernacularName,bibliographicCitation,individualCount,waterBody,island,disposition,startDayOfYear,georeferenceRemarks,datasetID,ownerInstitutionCode,locationID,verbatimElevation,materialSampleID,higherGeographyID,typeStatus,islandGroup,geologicalContextID,latestEraOrHighestErathem,latestEonOrHighestEonothem,latestPeriodOrHighestSystem,earliestEonOrLowestEonothem,earliestEraOrLowestErathem,earliestEpochOrLowestSeries,earliestPeriodOrLowestSystem,latestEpochOrHighestSeries,taxonRemarks,location
"Martes caurina (Merriam, 1890)",-110.84500800000001,43.402048,"cdc,cdround",gbif,4054908508,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:16:16.308+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,Adult,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-01-08T18:12:27,27474,NORTH_AMERICA,Wyoming,2023,1,8,2023-01-08,2023-03-29T22:20:17.000+00:00,2023-04-19T13:16:16.308+00:00,https://www.inaturalist.org/observations/146126739,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,jsmallphl,Caleb Stroh,WGS84,Mammalia,US,United States of America,jsmallphl,146126739,jsmallphl,Coordinate uncertainty increased to 27474m to protect threatened taxon,2023-01-08 08:48:55-07:00,Observations,4054908508,United States,https://www.inaturalist.org/observations/146126739,453111,146126739,iNaturalist,08:48:55-07:00,wild,325819219,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.402048/-110.845008/2023-01-08T18:12:27
"Martes caurina (Merriam, 1890)",-120.531333,39.412545,"cdc,cdround",gbif,4018238854,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:21:31.564+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-01-11T03:58:41,1494370,NORTH_AMERICA,California,2023,1,7,2023-01-07,2023-01-19T17:47:19.000+00:00,2023-04-19T13:21:31.564+00:00,https://www.inaturalist.org/observations/146315094,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Leyton Reid,Leyton Reid,WGS84,Mammalia,US,United States of America,Leyton Reid,146315094,leytonjfreid,Coordinate uncertainty increased to 1494370m to protect threatened taxon,2023-01-07,Observations,4018238854,United States,https://www.inaturalist.org/observations/146315094,453111,146315094,iNaturalist,NA,wild,326413544,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.412545/-120.531333/2023-01-11T03:58:41
"Martes caurina (Merriam, 1890)",-120.463358,39.423066,"cdc,cdround",gbif,4018187859,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:23:09.000+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-01-11T03:58:49,28090,NORTH_AMERICA,California,2023,1,7,2023-01-07,2023-01-19T17:47:09.000+00:00,2023-04-19T13:23:09.000+00:00,https://www.inaturalist.org/observations/146315097,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Leyton Reid,Leyton Reid,WGS84,Mammalia,US,United States of America,Leyton Reid,146315097,leytonjfreid,Coordinate uncertainty increased to 28090m to protect threatened taxon,2023-01-07,Observations,4018187859,"Tahoe National Forest, US-CA, US",https://www.inaturalist.org/observations/146315097,453111,146315097,iNaturalist,NA,wild,326413558,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.423066/-120.463358/2023-01-11T03:58:49
"Martes caurina (Merriam, 1890)",-106.205178,38.575425,"cdc,cdround",gbif,4055058534,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:17:09.401+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-01-15T00:03:55,7,NORTH_AMERICA,Colorado,2023,1,14,2023-01-14,2023-03-04T22:57:52.000+00:00,2023-04-19T13:17:09.401+00:00,https://www.inaturalist.org/observations/146570697,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Noah Brinkman,Noah Brinkman,WGS84,Mammalia,US,United States of America,Noah Brinkman,146570697,n_brinkman,NA,2023-01-14 14:07:32-07:00,Observations,4055058534,"Pike and San Isabel National Forests, Salida, CO, US",https://www.inaturalist.org/observations/146570697,453111,146570697,iNaturalist,14:07:32-07:00,wild,327236514,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.575425/-106.205178/2023-01-15T00:03:55
"Martes caurina (Merriam, 1890)",-106.820908,39.194928,"cdc,cdround",gbif,4022362707,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:19:25.277+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-01-24T03:49:08,4,NORTH_AMERICA,Colorado,2023,1,22,2023-01-22,2023-03-03T21:43:50.000+00:00,2023-04-19T13:19:25.277+00:00,https://www.inaturalist.org/observations/147225744,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,thruemmslens,hazellee,WGS84,Mammalia,US,United States of America,thruemmslens,147225744,thruemmslens,NA,2023-01-22 10:13:13-07:00,Observations,4022362707,"Pitkin County, US-CO, US",https://www.inaturalist.org/observations/147225744,453111,147225744,iNaturalist,10:13:13-07:00,wild,329258128,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.194928/-106.820908/2023-01-24T03:49:08
"Martes caurina (Merriam, 1890)",-106.174404,39.489334,"cdc,cdround",gbif,4034977810,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:25:37.688+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-02-14T04:42:45,8,NORTH_AMERICA,Colorado,2023,1,9,2023-01-09,2023-02-17T03:58:47.000+00:00,2023-04-19T13:25:37.688+00:00,https://www.inaturalist.org/observations/148741440,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Schmitty,Schmitty,WGS84,Mammalia,US,United States of America,Schmitty,148741440,eric-schmitty,NA,2023/01/09 1:53 PM,Observations,4034977810,"Summit County, CO, USA",https://www.inaturalist.org/observations/148741440,453111,148741440,iNaturalist,13:53:00-07:00,wild,333822013,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.489334/-106.174404/2023-02-14T04:42:45
"Martes caurina (Merriam, 1890)",-106.205662,39.479428,"cdc,cdround",gbif,4054837569,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:25:08.138+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-02-12T22:54:21,1291,NORTH_AMERICA,Colorado,2023,2,9,2023-02-09,2023-03-03T21:42:35.000+00:00,2023-04-19T13:25:08.138+00:00,https://www.inaturalist.org/observations/148645513,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Sal,Sal,WGS84,Mammalia,US,United States of America,Sal,148645513,salamandhertz,NA,2023-02-09 11:49:11-07:00,Observations,4054837569,"White River National Forest, Frisco, CO, US",https://www.inaturalist.org/observations/148645513,453111,148645513,iNaturalist,11:49:11-07:00,wild,333532893,"Bounds were approx 16” apart, more like 18-20” on steep downward slope",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.479428/-106.205662/2023-02-12T22:54:21
"Martes caurina (Merriam, 1890)",-117.10731,49.397337,"cdc,cdround",gbif,4067192010,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:26:56.039+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-03-16T20:03:44,157,NORTH_AMERICA,British Columbia,2023,3,11,2023-03-11,2023-03-17T16:28:02.000+00:00,2023-04-19T13:26:56.039+00:00,https://www.inaturalist.org/observations/151320869,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Adrian de Groot,C Hewitt,WGS84,Mammalia,CA,Canada,Adrian de Groot,151320869,adriandeg,NA,2023-03-11 10:41:39-08:00,Observations,4067192010,"Central Kootenay, BC, CA",https://www.inaturalist.org/observations/151320869,453111,151320869,iNaturalist,10:41:39-08:00,wild,341818334,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.397337/-117.10731/2023-03-16T20:03:44
"Martes caurina (Merriam, 1890)",-105.638835,40.31195,"cdc,cdround",gbif,4075760144,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:27:05.717+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-03-24T18:51:37,446,NORTH_AMERICA,Colorado,2023,3,22,2023-03-22,2023-03-31T17:16:13.000+00:00,2023-04-19T13:27:05.717+00:00,https://www.inaturalist.org/observations/151955986,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,shawnann74,mdelheimer,WGS84,Mammalia,US,United States of America,shawnann74,151955986,shawnann74,NA,2023-03-22 10:12:05-07:00,Observations,4075760144,"Rocky Mountain National Park, Estes Park, CO, US",https://www.inaturalist.org/observations/151955986,453111,151955986,iNaturalist,11:12:05-06:00,wild,343865177,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.31195/-105.638835/2023-03-24T18:51:37
"Martes caurina (Merriam, 1890)",-123.704406,48.34224,"cdc,cdround",gbif,4075827547,"Martes caurina (Merriam, 1890)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2023-04-18T14:51:01.646+00:00,2023-04-19T13:21:30.901+00:00,358,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,5847373,1,44,359,732,5307,2433765,5847373,5847373,"Martes caurina (Merriam, 1890)",Animalia,Chordata,Carnivora,Mustelidae,Martes,Martes caurina,Martes,caurina,SPECIES,ACCEPTED,LC,2023-03-25T22:32:20,40,NORTH_AMERICA,British Columbia,2023,3,25,2023-03-25,2023-03-31T05:31:14.000+00:00,2023-04-19T13:21:30.901+00:00,https://www.inaturalist.org/observations/152301368,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,iNaturalist research-grade observations,Erin Springinotic,Erin Springinotic,WGS84,Mammalia,CA,Canada,Erin Springinotic,152301368,enspring,NA,2023-03-25 13:08:43-08:00,Observations,4075827547,"Capital, BC, CA",https://www.inaturalist.org/observations/152301368,453111,152301368,iNaturalist,14:08:43-07:00,wild,344179966,Unfortunately the only photo I was able to snap. Disappeared up a draw. Was bigger than any mink I’ve seen and had a dark fluffy tail. Thoughts?,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.34224/-123.704406/2023-03-25T22:32:20
