name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,identificationRemarks,lifeStage,individualCount,otherCatalogNumbers,preparations,eventID,http://unknown.org/recordID,county,taxonRemarks,locationID,rights,ownerInstitutionCode,collectionID,higherClassification,sex,networkKeys,institutionKey,institutionID,dynamicProperties,identificationVerificationStatus,locationAccordingTo,locationRemarks,georeferencedDate,higherGeography,nomenclaturalCode,georeferencedBy,georeferenceVerificationStatus,endDayOfYear,locality,organismID,previousIdentifications,identificationQualifier,accessRights,establishmentMeans,collectionKey,recordNumber,language,type,startDayOfYear,bibliographicCitation,elevation,fieldNumber,eventRemarks,georeferenceProtocol,footprintWKT,georeferenceSources,verbatimCoordinateSystem,elevationAccuracy,http://unknown.org/language,georeferenceRemarks,organismQuantityType,datasetID,typeStatus,http://unknown.org/recordId,verbatimElevation,habitat,taxonConceptID,associatedSequences,location
"Rhyacotriton cascadae Good & Wake, 1992",-121.957904,45.700941,"cdc,cdround",gbif,4018251124,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:25:51.243+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2023-01-14T13:46:42,27126,NORTH_AMERICA,Oregon,2023,1,13,2023-01-13,2023-01-17T03:31:16.000+00:00,2023-03-29T14:25:51.243+00:00,https://www.inaturalist.org/observations/146513181,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,lilykienlen,Benjamin Monod-Broca,WGS84,Amphibia,US,United States of America,lilykienlen,146513181,lilykienlen,Coordinate uncertainty increased to 27126m to protect threatened taxon,2023-01-13 16:47:59-08:00,Observations,4018251124,"Oregon, US",https://www.inaturalist.org/observations/146513181,27699,146513181,iNaturalist,16:47:59-08:00,wild,327118929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.700941/-121.957904/2023-01-14T13:46:42
"Rhyacotriton cascadae Good & Wake, 1992",-121.880064,45.283683,"cdc,cdround",gbif,4067623281,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:11:40.589+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2023-03-18T23:34:20,27190,NORTH_AMERICA,Oregon,2023,3,18,2023-03-18,2023-03-20T01:59:49.000+00:00,2023-03-29T14:11:40.589+00:00,https://www.inaturalist.org/observations/151545969,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,North Ross,North Ross,WGS84,Amphibia,US,United States of America,North Ross,151545969,northross,Coordinate uncertainty increased to 27190m to protect threatened taxon,2023-03-18 12:36:29,Observations,4067623281,"Oregon, US",https://www.inaturalist.org/observations/151545969,27699,151545969,iNaturalist,12:36:29-07:00,wild,342352616,Under a rock in a small pool in the Salmon River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.283683/-121.880064/2023-03-18T23:34:20
"Rhyacotriton cascadae Good & Wake, 1992",-121.706409,45.782455,"cdc,cdround",gbif,3743072909,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:32.572+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-16T19:21:33,27126,NORTH_AMERICA,Oregon,2022,3,13,2022-03-13,2022-03-18T20:06:42.000+00:00,2023-03-29T14:05:32.572+00:00,https://www.inaturalist.org/observations/108744212,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Matt D'Agrosa,Matt D'Agrosa,WGS84,Amphibia,US,United States of America,Matt D'Agrosa,108744212,mattyd112,Coordinate uncertainty increased to 27126m to protect threatened taxon,2022/03/13 11:09 AM PDT,Observations,3743072909,"Oregon, Lewis and Clark National Historic Trail, US",https://www.inaturalist.org/observations/108744212,27699,108744212,iNaturalist,11:09:00-07:00,wild,242592854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.782455/-121.706409/2022-03-16T19:21:33
"Rhyacotriton cascadae Good & Wake, 1992",-121.647194,45.735298,"cdc,cdround",gbif,3743033969,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:34.990+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T03:58:48,27126,NORTH_AMERICA,Oregon,2022,3,13,2022-03-13,2022-03-18T20:06:37.000+00:00,2023-03-29T14:05:34.990+00:00,https://www.inaturalist.org/observations/108776095,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108776095,jonhakim,Coordinate uncertainty increased to 27126m to protect threatened taxon,2022-03-13 11:19:31,Observations,3743033969,"Oregon, Lewis and Clark National Historic Trail, US",https://www.inaturalist.org/observations/108776095,27699,108776095,iNaturalist,11:19:31-07:00,wild,242670585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.735298/-121.647194/2022-03-17T03:58:48
"Rhyacotriton cascadae Good & Wake, 1992",-121.623976,45.711714,"cdc,cdround",gbif,3743186941,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:43.749+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:38:07,27126,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-03-18T20:06:04.000+00:00,2023-03-29T14:05:43.749+00:00,https://www.inaturalist.org/observations/108776456,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108776456,jonhakim,Coordinate uncertainty increased to 27126m to protect threatened taxon,2022-03-16 11:06:54,Observations,3743186941,"Oregon, Lewis and Clark National Historic Trail, US",https://www.inaturalist.org/observations/108776456,27699,108776456,iNaturalist,11:06:54-07:00,wild,242675270,NA,"Two found under rock where one had been found 3 days earlier, over 300 meters from water.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.711714/-121.623976/2022-03-17T04:38:07
"Rhyacotriton cascadae Good & Wake, 1992",-121.784312,45.644178,"cdc,cdround",gbif,3743227654,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:42.695+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:40:06,27126,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-05-20T18:29:15.000+00:00,2023-03-29T14:05:42.695+00:00,https://www.inaturalist.org/observations/108776568,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108776568,jonhakim,Coordinate uncertainty increased to 27126m to protect threatened taxon,2022-03-16 11:40:10,Observations,3743227654,"Oregon, Lewis and Clark National Historic Trail, US",https://www.inaturalist.org/observations/108776568,27699,108776568,iNaturalist,11:40:10-07:00,wild,242675538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.644178/-121.784312/2022-03-17T04:40:06
"Rhyacotriton cascadae Good & Wake, 1992",-121.708677,45.799372,"cdc,cdround",gbif,3743097653,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:52.276+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:40:45,27126,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-05-20T18:29:22.000+00:00,2023-03-29T14:05:52.276+00:00,https://www.inaturalist.org/observations/108776748,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108776748,jonhakim,Coordinate uncertainty increased to 27126m to protect threatened taxon,2022-03-16 11:46:08,Observations,3743097653,"Oregon, Lewis and Clark National Historic Trail, US",https://www.inaturalist.org/observations/108776748,27699,108776748,iNaturalist,11:46:08-07:00,wild,242675614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.799372/-121.708677/2022-03-17T04:40:45
"Rhyacotriton cascadae Good & Wake, 1992",-122.230014,45.582287,"cdc,cdround",gbif,3743013946,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:26.219+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:50:02,27158,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-05-20T18:29:26.000+00:00,2023-03-29T14:05:26.219+00:00,https://www.inaturalist.org/observations/108777365,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108777365,jonhakim,Coordinate uncertainty increased to 27158m to protect threatened taxon,2022-03-16 14:47:39,Observations,3743013946,"Oregon, US",https://www.inaturalist.org/observations/108777365,27699,108777365,iNaturalist,14:47:39-07:00,wild,242676969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.582287/-122.230014/2022-03-17T04:50:02
"Rhyacotriton cascadae Good & Wake, 1992",-122.384484,45.540234,"cdc,cdround",gbif,3742990826,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:23:34.611+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:50:10,27158,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-05-20T18:29:45.000+00:00,2023-03-29T14:23:34.611+00:00,https://www.inaturalist.org/observations/108777385,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108777385,jonhakim,Coordinate uncertainty increased to 27158m to protect threatened taxon,2022-03-16 14:49:32,Observations,3742990826,"Oregon, US",https://www.inaturalist.org/observations/108777385,27699,108777385,iNaturalist,14:49:32-07:00,wild,242676990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.540234/-122.384484/2022-03-17T04:50:10
"Rhyacotriton cascadae Good & Wake, 1992",-122.278968,45.541379,"cdc,cdround",gbif,3742997285,"Rhyacotriton cascadae Good & Wake, 1992",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2023-03-28T11:22:53.478+00:00,2023-03-29T14:05:32.732+00:00,352,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2431178,1,44,131,953,3104,2431175,2431178,2431178,"Rhyacotriton cascadae Good & Wake, 1992",Animalia,Chordata,Caudata,Rhyacotritonidae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotriton,cascadae,SPECIES,ACCEPTED,NT,2022-03-17T04:50:20,27158,NORTH_AMERICA,Oregon,2022,3,16,2022-03-16,2022-05-20T18:28:47.000+00:00,2023-03-29T14:05:32.732+00:00,https://www.inaturalist.org/observations/108777405,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jonathan Hakim,Jonathan Hakim,WGS84,Amphibia,US,United States of America,Jonathan Hakim,108777405,jonhakim,Coordinate uncertainty increased to 27158m to protect threatened taxon,2022-03-16 14:49:55,Observations,3742997285,"Oregon, US",https://www.inaturalist.org/observations/108777405,27699,108777405,iNaturalist,14:49:55-07:00,wild,242677006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.541379/-122.278968/2022-03-17T04:50:20
