x,y,species cloglog values
1.0,1.0,0.10476485
2.0,2.0,0.15643226
3.0,3.0,0.106049486
4.0,4.0,0.050953634
5.0,5.0,0.013967914
6.0,6.0,5.068836E-4
7.0,7.0,0.0089684045
8.0,8.0,0.12564766
9.0,9.0,0.017542563
10.0,10.0,0.13041583
11.0,11.0,0.043037903
12.0,12.0,0.10144464
13.0,13.0,0.018734902
14.0,14.0,0.08853725
15.0,15.0,0.021755202
16.0,16.0,0.028279483
17.0,17.0,0.21643654
18.0,18.0,0.2010361
19.0,19.0,0.34852916
20.0,20.0,0.11256017
21.0,21.0,0.08962897
22.0,22.0,0.13289183
23.0,23.0,0.70083493
24.0,24.0,0.0042238734
25.0,25.0,0.05098093
26.0,26.0,0.058284022
27.0,27.0,0.12949699
28.0,28.0,0.025909666
29.0,29.0,0.06566417
30.0,30.0,0.35694474
31.0,31.0,0.107288904
32.0,32.0,0.42625058
33.0,33.0,0.006577768
34.0,34.0,0.016804665
35.0,35.0,0.35410506
36.0,36.0,0.06951033
37.0,37.0,0.008881601
38.0,38.0,0.13131735
39.0,39.0,0.57008624
40.0,40.0,0.08800755
41.0,41.0,0.12998055
42.0,42.0,0.28673565
43.0,43.0,0.042045113
44.0,44.0,0.023753027
45.0,45.0,0.005358461
46.0,46.0,3.3997487E-5
47.0,47.0,0.1672401
48.0,48.0,0.30957115
49.0,49.0,0.0031448526
50.0,50.0,0.23447512
51.0,51.0,0.0053789234
52.0,52.0,0.14426221
53.0,53.0,0.21144299
54.0,54.0,0.08686401
55.0,55.0,0.021639012
56.0,56.0,0.015026203
57.0,57.0,0.121053874
58.0,58.0,0.7230155
59.0,59.0,0.0063328585
60.0,60.0,0.22869208
61.0,61.0,0.07751618
62.0,62.0,0.10522363
63.0,63.0,0.190717
64.0,64.0,0.15508765
65.0,65.0,0.0035785704
66.0,66.0,0.004252099
67.0,67.0,0.0034485382
68.0,68.0,0.056702346
69.0,69.0,9.6391945E-5
70.0,70.0,0.03254914
71.0,71.0,0.00554303
72.0,72.0,0.0106218355
73.0,73.0,0.14474325
74.0,74.0,0.07587547
75.0,75.0,0.030326357
76.0,76.0,0.0201822
77.0,77.0,0.039058283
78.0,78.0,0.12541804
79.0,79.0,0.1749971
80.0,80.0,0.021289919
81.0,81.0,0.5535325
82.0,82.0,0.003018293
83.0,83.0,0.013738155
84.0,84.0,0.038100675
85.0,85.0,0.13980137
86.0,86.0,0.12775867
87.0,87.0,0.062451985
88.0,88.0,0.015069028
89.0,89.0,0.023997774
90.0,90.0,0.16785432
91.0,91.0,0.2786822
92.0,92.0,0.009816145
93.0,93.0,0.47501278
94.0,94.0,0.1257299
95.0,95.0,0.011615402
96.0,96.0,0.026648192
97.0,97.0,0.51433307
98.0,98.0,0.55507517
99.0,99.0,0.41529197
100.0,100.0,0.38556573
101.0,101.0,0.1342543
102.0,102.0,0.019330265
103.0,103.0,0.0058087916
104.0,104.0,0.1302019
105.0,105.0,0.0041346815
106.0,106.0,0.0071847653
107.0,107.0,0.18267612
108.0,108.0,0.0027630855
109.0,109.0,0.046796404
110.0,110.0,0.16869116
111.0,111.0,0.09330621
112.0,112.0,0.12561901
113.0,113.0,0.11512719
114.0,114.0,0.039486486
115.0,115.0,0.15629596
116.0,116.0,0.08371918
117.0,117.0,0.6060277
118.0,118.0,0.006005207
119.0,119.0,0.068877935
120.0,120.0,0.6247888
121.0,121.0,0.0026954287
122.0,122.0,0.73475134
123.0,123.0,7.473229E-4
124.0,124.0,0.1670336
125.0,125.0,0.019544158
126.0,126.0,0.6370045
127.0,127.0,0.017686844
128.0,128.0,0.59495974
129.0,129.0,0.0012381214
130.0,130.0,0.037287246
131.0,131.0,0.23396468
132.0,132.0,0.07246743
133.0,133.0,0.20198189
134.0,134.0,0.09609404
135.0,135.0,0.113675386
136.0,136.0,0.0307792
137.0,137.0,0.011868943
138.0,138.0,0.013585495
139.0,139.0,0.022733767
140.0,140.0,0.017823968
141.0,141.0,0.13970292
142.0,142.0,0.08049463
143.0,143.0,0.05494048
144.0,144.0,0.2956433
145.0,145.0,0.049082715
146.0,146.0,0.09710573
147.0,147.0,0.22852808
148.0,148.0,0.006307998
149.0,149.0,0.14882936
150.0,150.0,0.03295502
151.0,151.0,0.06626965
152.0,152.0,0.0886379
153.0,153.0,0.0015089322
154.0,154.0,0.15478818
155.0,155.0,0.024268493
156.0,156.0,0.025790704
157.0,157.0,0.0021489554
158.0,158.0,0.43639222
159.0,159.0,0.050550867
160.0,160.0,0.043150384
161.0,161.0,0.15020368
162.0,162.0,0.093883865
163.0,163.0,0.19026692
164.0,164.0,0.12071441
165.0,165.0,0.17482701
166.0,166.0,0.51410896
167.0,167.0,0.25040248
168.0,168.0,0.03550405
169.0,169.0,0.010748424
170.0,170.0,0.11347108
171.0,171.0,0.119342886
172.0,172.0,0.09856208
173.0,173.0,0.03586246
174.0,174.0,0.110727705
175.0,175.0,0.20711122
