Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.65038E-8,0.00000265,0.000033997,1,0,0
7.51477E-8,0.000010165,0.000096392,0.999455634,0,0
2.59013E-7,0.000036066,0.000332196,0.998911268,0,0
3.90409E-7,0.000075107,0.000500676,0.998366903,0,0
3.9525E-7,0.000114632,0.000506884,0.997822537,0,0
7.61952E-7,0.00029764,0.000976926,0.996189439,0,0
9.65798E-7,0.000581877,0.001238121,0.994556342,0,0
1.30282E-6,0.001061144,0.001669817,0.992378879,0,0
2.00937E-6,0.002573874,0.002574219,0.987479586,0,0
2.51277E-6,0.005114832,0.003218103,0.981491562,0,0
3.29977E-6,0.010035099,0.004223873,0.972237343,0,0
5.53465E-6,0.025237597,0.007074501,0.953728906,0,0
8.97979E-6,0.05026122,0.011452843,0.935220468,0,0
1.47437E-5,0.100153166,0.018734902,0.912357104,0,0
2.13202E-5,0.200328686,0.026978148,0.881872618,0,0
2.84565E-5,0.302496575,0.035844765,0.85955362,0,0
3.35713E-5,0.401302487,0.042149918,0.842133914,0,0
4.07695E-5,0.502146584,0.050953634,0.827436037,0,0
4.70269E-5,0.604438555,0.058540798,0.814915623,0,0
5.33545E-5,0.700872471,0.066151534,0.804572673,0,0
5.68572E-5,0.750436888,0.07033802,0.799673381,0,0
5.88289E-5,0.802679736,0.072686343,0.794774088,0,0
6.19001E-5,0.905248068,0.076332509,0.785519869,0,0
6.62746E-5,1.002206341,0.081501102,0.777354382,0,0
7.22695E-5,1.106725641,0.088537251,0.769188895,0,0
7.89656E-5,1.205362746,0.096332732,0.762112139,0,0
8.43748E-5,1.304250136,0.102581352,0.75557975,0,0
8.7084E-5,1.407433519,0.105694658,0.74904736,0,0
9.32789E-5,1.507735142,0.112773155,0.743059336,0,0
1.01038E-4,1.751205712,0.121560166,0.729450191,0,0
1.07753E-4,2.001597928,0.129094429,0.716385411,0.004761905,0
1.17107E-4,2.270917935,0.139481606,0.703320631,0.007619048,0
1.25622E-4,2.501077045,0.148829356,0.692977681,0.007619048,0
1.35652E-4,2.762609926,0.159710617,0.682090365,0.007619048,0
1.49964E-4,3.007761258,0.174997111,0.672836146,0.00952381,0
1.64962E-4,3.258573943,0.190717001,0.664126293,0.011428571,0
1.78864E-4,3.515358895,0.205021592,0.655960806,0.011428571,0
1.96282E-4,3.758305695,0.222586509,0.64888405,0.011428571,0
2.13686E-4,4.005176295,0.239750657,0.64235166,0.012380952,0
2.34438E-4,4.650225321,0.259720931,0.627109418,0.033333333,0
2.40021E-4,4.768940222,0.265003902,0.624387588,0.034285714,0
2.63418E-4,5.021745507,0.286735647,0.61894393,0.034285714,0
2.87768E-4,5.269297571,0.308670136,0.614044638,0.036190476,0
2.95251E-4,5.502896644,0.31527373,0.609689711,0.038095238,0
3.17342E-4,5.778274583,0.334405011,0.604790419,0.04,0
3.34062E-4,6.006781091,0.34852916,0.600979858,0.044761905,0
3.53101E-4,6.28157005,0.36424656,0.596624932,0.045714286,0
3.62482E-4,6.533103423,0.371851539,0.592814371,0.05047619,0
3.74048E-4,6.754583975,0.381102083,0.589548176,0.051428571,0
3.81485E-4,7.019549104,0.386978281,0.585737616,0.053333333,0
3.91947E-4,7.253019734,0.395149611,0.582471421,0.055238095,0
4.01799E-4,7.530711504,0.402745585,0.57866086,0.058095238,0
4.08923E-4,7.855144276,0.408178807,0.574305934,0.061904762,0
4.18349E-4,8.020882145,0.415291969,0.57212847,0.064761905,0
4.44571E-4,8.368757141,0.434632262,0.567229178,0.065714286,0
4.48092E-4,8.502792497,0.437179785,0.566140446,0.07047619,0
4.58239E-4,8.77628608,0.444457992,0.562874251,0.074285714,0
4.66298E-4,9.008591747,0.45017195,0.560152422,0.076190476,0
4.82592E-4,9.291450688,0.461544898,0.556886228,0.08,0
4.89994E-4,9.53584833,0.466633372,0.553620033,0.080952381,0
5.02339E-4,9.783099683,0.475012783,0.551442569,0.085714286,0
5.07622E-4,10.036239672,0.478558645,0.54872074,0.088571429,0
5.2771E-4,10.29745031,0.491823715,0.545998911,0.08952381,0
5.42857E-4,10.512036992,0.501601866,0.543821448,0.093333333,0
5.47435E-4,10.784245772,0.504520063,0.541099619,0.095238095,0
5.55144E-4,11.005078758,0.509395924,0.538922156,0.097142857,0
5.63837E-4,11.286014899,0.51483613,0.536200327,0.099047619,0
5.71076E-4,11.513834582,0.519320598,0.534022863,0.1,0
5.74684E-4,11.857939182,0.521540181,0.530756668,0.103809524,0
5.8683E-4,12.032731145,0.528936858,0.529123571,0.106666667,0
5.94541E-4,12.269781108,0.533573495,0.526946108,0.11047619,0
6.09326E-4,12.511470254,0.542336334,0.524768645,0.113333333,0
6.15127E-4,12.757032159,0.545728898,0.522591181,0.117142857,0
6.23416E-4,13.005708359,0.550533679,0.520413718,0.119047619,0
6.30572E-4,13.257451083,0.554640357,0.518236255,0.120952381,0
6.39103E-4,13.510649435,0.559487647,0.516058792,0.123809524,0
6.49296E-4,13.768913651,0.565210057,0.513881328,0.126666667,0
6.66422E-4,14.032551147,0.57465754,0.511703865,0.12952381,0
6.71978E-4,14.300136536,0.57767811,0.509526402,0.132380952,0
6.72413E-4,14.501829089,0.577913659,0.507893304,0.135238095,0
6.76941E-4,14.771906479,0.580358601,0.505715841,0.139047619,0
6.80656E-4,15.043421273,0.582353269,0.503538378,0.141904762,0
6.87478E-4,15.317731132,0.585992304,0.500816549,0.144761905,0
6.92031E-4,15.732796116,0.588403186,0.497550354,0.146666667,0
7.00837E-4,15.802879847,0.593026599,0.497550354,0.151428571,0
7.04549E-4,16.013736477,0.594959765,0.495917256,0.154285714,0
7.10279E-4,16.297541876,0.597925987,0.493195427,0.155238095,0
7.17478E-4,16.511814733,0.601621556,0.492106696,0.159047619,0
7.24662E-4,16.800277412,0.605276292,0.489929232,0.161904762,0
7.26975E-4,17.018107533,0.606445356,0.488296135,0.162857143,0
7.34784E-4,17.310743652,0.610368065,0.486118672,0.165714286,0
7.3882E-4,17.531582439,0.612380259,0.484485574,0.168571429,0
7.43609E-4,19.46461749,0.614753957,0.469787697,0.16952381,0
7.45404E-4,19.53915787,0.615639991,0.469787697,0.193333333,0
7.51075E-4,19.763855768,0.618426203,0.4681546,0.195238095,0
7.53178E-4,20.441716183,0.619454068,0.462710942,0.195238095,0
7.54866E-4,20.517202773,0.620277011,0.462710942,0.203809524,0
7.59365E-4,20.820224534,0.622462257,0.460533478,0.207619048,0
7.59941E-4,21.048187028,0.622741024,0.458900381,0.21047619,0
7.64534E-4,21.277107324,0.624956969,0.457267284,0.211428571,0
7.72531E-4,21.50838087,0.628784594,0.455634186,0.212380952,0
7.76528E-4,21.818530973,0.630683061,0.453456723,0.215238095,0
7.87702E-4,22.132058079,0.635938934,0.45127926,0.219047619,0
7.91152E-4,22.290171909,0.637546585,0.450190528,0.22,0
7.92191E-4,22.527621314,0.638029296,0.448557431,0.222857143,0
7.93203E-4,22.765379762,0.638499166,0.446924333,0.225714286,0
7.96646E-4,23.00420348,0.640092251,0.445291236,0.228571429,0
7.96818E-4,23.32287919,0.640171657,0.443113772,0.232380952,0
8.03453E-4,23.722448544,0.643220994,0.440391943,0.237142857,0
8.08446E-4,23.803293158,0.645498945,0.439847578,0.238095238,0
8.18E-4,24.048247846,0.649817136,0.43821448,0.240952381,0
8.20081E-4,24.294046135,0.650750317,0.436581383,0.243809524,0
8.21149E-4,24.540343734,0.651228851,0.434948285,0.246666667,0
8.21842E-4,24.951195635,0.651538716,0.43168209,0.248571429,0
8.22617E-4,25.033457311,0.651884687,0.43168209,0.252380952,0
8.24715E-4,25.280452185,0.652820486,0.430048993,0.255238095,0
