Predictor variable,Categorical,Sample average
bio1,false,195.11619047619047
bio10,false,286.29333333333335
bio11,false,107.98190476190476
bio12,false,343.5390476190476
bio13,false,62.967619047619046
bio14,false,4.934285714285714
bio15,false,60.61142857142857
bio16,false,152.98666666666668
bio17,false,22.357142857142858
bio18,false,124.51619047619047
bio19,false,91.4752380952381
bio2,false,163.05428571428573
bio3,false,46.13619047619048
bio4,false,7038.880952380952
bio5,false,375.0514285714286
bio6,false,25.557142857142857
bio7,false,349.4942857142857
bio8,false,261.4495238095238
bio9,false,221.71714285714285
