X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.355699619610734E-4,54.83988885176659,0.6988399894841951
2.0,2.0,train,9.42214912828027E-4,57.28404272278853,0.7013961347205637
3.0,3.0,train,8.994219895165252E-4,45.56248813089255,0.6845466016063954
4.0,4.0,train,8.670571429019514E-4,35.348936185507114,0.6711744529411295
5.0,5.0,train,8.670571429019514E-4,35.348936185507114,0.6711744529411295
6.0,6.0,train,8.670571429019514E-4,35.348936185507114,0.6711744529411295
7.0,7.0,train,7.401306398728264E-4,18.060609963203717,0.6130312857761107
8.0,8.0,train,8.748102891852106E-4,37.138624491236094,0.67442855947668
9.0,9.0,train,8.901824905560957E-4,39.654122158294705,0.6807855794473775
10.0,10.0,train,8.901824905560957E-4,39.654122158294705,0.6807855794473775
11.0,11.0,train,8.805846841050854E-4,37.529887503015495,0.6768312144081542
12.0,12.0,train,7.789302654193671E-4,21.88593524405585,0.6318195525904897
13.0,13.0,train,9.087454694726309E-4,48.27273671944227,0.6882968918011529
14.0,14.0,train,0.0010310617679914434,88.42029945996822,0.7335601635970024
15.0,15.0,train,0.0010063456593808293,80.89630993259387,0.7249773803698758
16.0,16.0,train,9.04463535957608E-4,47.58581006568947,0.686580089066039
17.0,17.0,train,0.0010912878496811438,98.12633765842112,0.7533691370280955
18.0,18.0,train,9.010872883071096E-4,46.19332307010457,0.6852197482218809
19.0,19.0,train,9.280699372742866E-4,50.92928479164279,0.6959286231019597
20.0,20.0,train,9.280699372742866E-4,50.92928479164279,0.6959286231019597
21.0,21.0,train,0.0010370225762888574,88.71989503127492,0.7355896730176181
22.0,22.0,train,0.0010370225762888574,88.71989503127492,0.7355896730176181
23.0,23.0,train,9.010872883071096E-4,46.19332307010457,0.6852197482218809
24.0,24.0,train,9.88376364409353E-4,78.71273290269015,0.7185643919632865
25.0,25.0,train,9.548471828261054E-4,68.53948540837509,0.7061957779109327
26.0,26.0,train,9.548471828261054E-4,68.53948540837509,0.7061957779109327
27.0,27.0,train,0.0010063456593808293,80.89630993259387,0.7249773803698758
28.0,28.0,train,8.946802334096731E-4,43.860659660111885,0.6826219949976526
29.0,29.0,train,8.744083895583321E-4,37.09130723326775,0.6742606705973258
30.0,30.0,train,0.0010107065473628802,83.71691807021841,0.7265115566616913
31.0,31.0,train,8.392302982237202E-4,28.66594740777125,0.6592249521473387
32.0,32.0,train,4.6764575228659124E-4,9.03198832147622,0.4511215048453803
33.0,33.0,train,5.351584826378269E-4,10.40297253718597,0.49665574764114795
34.0,34.0,train,8.689035895983354E-4,35.86719894283919,0.6719523715779754
35.0,35.0,train,8.689035895983354E-4,35.86719894283919,0.6719523715779754
36.0,36.0,train,8.689035895983354E-4,35.86719894283919,0.6719523715779754
37.0,37.0,train,8.689035895983354E-4,35.86719894283919,0.6719523715779754
38.0,38.0,train,7.031798092687325E-4,15.935960899569423,0.5942476622663724
39.0,39.0,train,0.0010411393651585043,91.83720110067391,0.736982306592211
40.0,40.0,train,9.315405518753713E-4,52.88010586141528,0.6972793315876323
41.0,41.0,train,9.290148129033486E-4,52.12325635536092,0.6962969497105644
42.0,42.0,train,9.28351830464089E-4,51.11481974156169,0.6960385560005398
43.0,43.0,train,5.551441809020839E-4,11.005084604305457,0.509395923582064
44.0,44.0,train,5.709675279948154E-4,11.510420842832223,0.5192536206971841
45.0,45.0,train,3.943016869778778E-4,7.319389729400207,0.39697414459588576
46.0,46.0,train,9.287135805917631E-4,52.04244541049965,0.6961795733358824
47.0,47.0,train,8.901824905560957E-4,39.654122158294705,0.6807855794473775
48.0,48.0,train,9.124397654814325E-4,49.33947967931068,0.689770527939737
49.0,49.0,train,9.404340306981586E-4,56.154777966320964,0.7007132100055977
50.0,50.0,train,9.621152735803338E-4,72.27302813295258,0.7089222528247574
51.0,51.0,train,9.28351830464089E-4,51.11481974156169,0.6960385560005398
52.0,52.0,train,9.706676124331063E-4,73.53006147845176,0.7120981023485331
53.0,53.0,train,8.862913336789704E-4,38.91032978252375,0.6791882605072959
54.0,54.0,train,0.0010166777157858532,86.45862033782744,0.7285983631414692
55.0,55.0,train,0.0010097418021534383,82.81297757164666,0.7261728946851941
56.0,56.0,train,8.742448577063952E-4,36.76081254321587,0.6741923322961969
57.0,57.0,train,8.930087129760537E-4,40.248176089570336,0.6819407547925147
58.0,58.0,train,9.706676124331063E-4,73.53006147845176,0.7120981023485331
59.0,59.0,train,8.413470625266526E-4,28.893290880436773,0.6601490051355778
60.0,60.0,train,9.500206286389623E-4,67.14736002064883,0.7043710991646897
61.0,61.0,train,9.480582830472104E-4,65.87601375444432,0.7036259981099977
62.0,62.0,train,7.963965586658969E-4,22.98690098019361,0.6399769462359662
63.0,63.0,train,9.407656818499607E-4,56.3719680589245,0.7008405083494391
64.0,64.0,train,0.0012847541801985613,99.85830577689957,0.8075721097676043
65.0,65.0,train,9.28351830464089E-4,51.11481974156169,0.6960385560005398
66.0,66.0,train,8.817550262253524E-4,37.720027566456594,0.677316014126288
67.0,67.0,train,5.906877844609748E-4,12.151326354925569,0.531262243145717
68.0,68.0,train,4.6281028413928927E-4,8.90805617691328,0.447706365547054
69.0,69.0,train,0.0010579560274402555,93.83110920270656,0.7425953061700861
70.0,70.0,train,0.0010097418021534383,82.81297757164666,0.7261728946851941
71.0,71.0,train,9.169332753084908E-4,49.82196851303083,0.69155357893648
72.0,72.0,train,8.828880354687872E-4,38.50059309167347,0.6777846563113036
73.0,73.0,train,8.901824905560957E-4,39.654122158294705,0.6807855794473775
74.0,74.0,train,7.189745933794227E-4,16.571908181719646,0.6023858671092307
75.0,75.0,train,8.744083895583321E-4,37.09130723326775,0.6742606705973258
76.0,76.0,train,0.0010914781805970472,98.13577916120028,0.7534293444204246
77.0,77.0,train,0.0010411393651585043,91.83720110067391,0.736982306592211
78.0,78.0,train,8.744083895583321E-4,37.09130723326775,0.6742606705973258
79.0,79.0,train,9.287135805917631E-4,52.04244541049965,0.6961795733358824
80.0,80.0,train,9.930602585338682E-4,79.63558379066869,0.7202502777536085
81.0,81.0,train,6.920309789417219E-4,15.732794196264914,0.5884031860252295
82.0,82.0,train,3.5310094788788295E-4,6.281569297868355,0.36424656037531833
83.0,83.0,train,4.038264288666881E-4,7.623042268633976,0.4042970735926217
84.0,84.0,train,9.092799159737837E-4,48.635912230181006,0.6885105121320482
85.0,85.0,train,7.911517137853933E-4,22.2901587917572,0.6375465852009164
86.0,86.0,train,8.986589219659097E-4,45.07059339642913,0.6842376739161165
87.0,87.0,train,0.0010166777157858532,86.45862033782744,0.7285983631414692
88.0,88.0,train,9.499796313508135E-4,66.25566486609952,0.7043555517024156
89.0,89.0,train,0.0010723439890001358,95.00126108604682,0.7473024798938157
90.0,90.0,train,9.331080599933615E-4,54.081446402343545,0.697887412528917
91.0,91.0,train,9.019676076209126E-4,47.00441450039584,0.685575010088371
92.0,92.0,train,9.019676076209126E-4,47.00441450039584,0.685575010088371
93.0,93.0,train,9.019676076209126E-4,47.00441450039584,0.685575010088371
94.0,94.0,train,9.019676076209126E-4,47.00441450039584,0.685575010088371
95.0,95.0,train,9.019676076209126E-4,47.00441450039584,0.685575010088371
96.0,96.0,train,8.138994746183697E-4,23.943114612224267,0.6479701430638497
97.0,97.0,train,9.197349620698584E-4,50.00580794912225,0.6926601140889788
98.0,98.0,train,8.587300477760766E-4,34.57153074201426,0.6676432171933832
99.0,99.0,train,7.98060178054149E-4,23.397684959803957,0.6407444261911386
100.0,100.0,train,9.679025688952468E-4,73.02783262055623,0.7110751321074276
101.0,101.0,train,9.499796313508135E-4,66.25566486609952,0.7043555517024156
102.0,102.0,train,8.226167641119745E-4,25.03343227287829,0.6518846865146734
103.0,103.0,train,9.310696368852304E-4,52.699393538667884,0.6970964113146695
104.0,104.0,train,9.408456575248483E-4,56.53037136081158,0.7008711974737388
105.0,105.0,train,3.765916972804651E-4,6.8452107167043685,0.38311798937031716
106.0,106.0,train,6.722564335909805E-4,14.429235344748996,0.5778290621912923
107.0,107.0,train,0.0010147742994654476,84.53228081220985,0.7279348911017793
108.0,108.0,train,8.983483023324519E-4,44.574332974434064,0.6841118330166369
109.0,109.0,train,9.59106009746448E-4,71.74853603169966,0.7077964720228123
110.0,110.0,train,9.320352990401424E-4,53.532880684281324,0.6974713901426174
111.0,111.0,train,3.8214738107500223E-4,7.034330840463473,0.38749864477218343
112.0,112.0,train,9.379547158174516E-4,55.02529469230822,0.6997598518196788
113.0,113.0,train,7.55013233420622E-4,20.527119405672806,0.6203487671152228
114.0,114.0,train,8.211494705656844E-4,24.54062271351801,0.651228850918832
115.0,115.0,train,9.214992640474564E-4,50.22713896051704,0.6933548929063036
116.0,116.0,train,0.0010789476966788804,95.32211790965872,0.7494340358636156
117.0,117.0,train,7.911517137853933E-4,22.2901587917572,0.6375465852009164
118.0,118.0,train,8.558296237874577E-4,31.826131478726346,0.6664043627977794
119.0,119.0,train,9.500206286389623E-4,67.14736002064883,0.7043710991646897
120.0,120.0,train,7.708210317505592E-4,21.45892852279535,0.6279696709353637
121.0,121.0,train,9.50067561998838E-4,67.29936591034651,0.7043888967684723
122.0,122.0,train,0.0010411393651585043,91.83720110067391,0.736982306592211
123.0,123.0,train,9.28351830464089E-4,51.11481974156169,0.6960385560005398
124.0,124.0,train,0.0010589860539664071,94.1480713376023,0.7429351849602839
